34,value,values-port,120,resources,other,N/A,abc_action_bar_embed_tabs,false
34,value,values,1152306,resources,string,N/A,abc_action_bar_home_description,Navigate home
34,value,values,1152306,resources,string,N/A,abc_action_bar_up_description,Navigate up
34,value,values,1152306,resources,string,N/A,abc_action_menu_overflow_description,More options
34,value,values,1152306,resources,string,N/A,abc_action_mode_done,Done
34,value,values,1152306,resources,string,N/A,abc_activity_chooser_view_see_all,See all
34,value,values,1152306,resources,string,N/A,abc_activitychooserview_choose_application,Choose an app
34,value,values,1152306,resources,string,N/A,abc_capital_off,OFF
34,value,values,1152306,resources,string,N/A,abc_capital_on,ON
34,value,values,1152306,resources,string,N/A,abc_menu_alt_shortcut_label,Alt+
34,value,values,1152306,resources,string,N/A,abc_menu_ctrl_shortcut_label,Ctrl+
34,value,values,1152306,resources,string,N/A,abc_menu_delete_shortcut_label,delete
34,value,values,1152306,resources,string,N/A,abc_menu_enter_shortcut_label,enter
34,value,values,1152306,resources,string,N/A,abc_menu_function_shortcut_label,Function+
34,value,values,1152306,resources,string,N/A,abc_menu_meta_shortcut_label,Meta+
34,value,values,1152306,resources,string,N/A,abc_menu_shift_shortcut_label,Shift+
34,value,values,1152306,resources,string,N/A,abc_menu_space_shortcut_label,space
34,value,values,1152306,resources,string,N/A,abc_menu_sym_shortcut_label,Sym+
34,value,values,1152306,resources,string,N/A,abc_prepend_shortcut_label,Menu+
34,value,values,1152306,resources,string,N/A,abc_search_hint,Search…
34,value,values,1152306,resources,string,N/A,abc_searchview_description_clear,Clear query
34,value,values,1152306,resources,string,N/A,abc_searchview_description_query,Search query
34,value,values,1152306,resources,string,N/A,abc_searchview_description_search,Search
34,value,values,1152306,resources,string,N/A,abc_searchview_description_submit,Submit query
34,value,values,1152306,resources,string,N/A,abc_searchview_description_voice,Voice search
34,value,values,1152306,resources,string,N/A,abc_shareactionprovider_share_with,Share with
34,value,values,1152306,resources,string,N/A,abc_shareactionprovider_share_with_application,Share with %s
34,value,values,1152306,resources,string,N/A,abc_toolbar_collapse_description,Collapse
34,value,values,1152306,resources,string,N/A,androidx_startup,androidx.startup
34,value,values,1152306,resources,string,N/A,app_name,Digital Tv Lite
34,value,values,1152306,resources,string,N/A,appbar_scrolling_view_behavior,com.google.android.material.appbar.AppBarLayout$ScrollingViewBehavior
34,value,values,1152306,resources,string,N/A,bottom_sheet_behavior,com.google.android.material.bottomsheet.BottomSheetBehavior
34,value,values,1152306,resources,string,N/A,bottomsheet_action_collapse,Collapse the bottom sheet
34,value,values,1152306,resources,string,N/A,bottomsheet_action_expand,Expand the bottom sheet
34,value,values,1152306,resources,string,N/A,bottomsheet_action_expand_halfway,Expand halfway
34,value,values,1152306,resources,string,N/A,bottomsheet_drag_handle_clicked,Drag handle double-tapped
34,value,values,1152306,resources,string,N/A,bottomsheet_drag_handle_content_description,Drag handle
34,value,values,1152306,resources,string,N/A,channel_description,Your Channel Description
34,value,values,1152306,resources,string,N/A,channel_name,Your Channel Name
34,value,values,1152306,resources,string,N/A,character_counter_content_description,Characters entered %1$d of %2$d
34,value,values,1152306,resources,string,N/A,character_counter_overflowed_content_description,Character limit exceeded %1$d of %2$d
34,value,values,1152306,resources,string,N/A,character_counter_pattern,%1$d/%2$d
34,value,values,1152306,resources,string,N/A,clear_text_end_icon_content_description,Clear text
34,value,values,1152306,resources,string,N/A,close_nav,Close Navigation Drawer
34,value,values,1152306,resources,string,N/A,common_google_play_services_enable_button,Enable
34,value,values,1152306,resources,string,N/A,common_google_play_services_enable_text,"%1$s won't work unless you enable Google Play services."
34,value,values,1152306,resources,string,N/A,common_google_play_services_enable_title,Enable Google Play services
34,value,values,1152306,resources,string,N/A,common_google_play_services_install_button,Install
34,value,values,1152306,resources,string,N/A,common_google_play_services_install_text,"%1$s won't run without Google Play services- which are missing from your device."
34,value,values,1152306,resources,string,N/A,common_google_play_services_install_title,Get Google Play services
34,value,values,1152306,resources,string,N/A,common_google_play_services_notification_channel_name,Google Play services availability
34,value,values,1152306,resources,string,N/A,common_google_play_services_notification_ticker,Google Play services error
34,value,values,1152306,resources,string,N/A,common_google_play_services_unknown_issue,%1$s is having trouble with Google Play services. Please try again.
34,value,values,1152306,resources,string,N/A,common_google_play_services_unsupported_text,"%1$s won't run without Google Play services- which are not supported by your device."
34,value,values,1152306,resources,string,N/A,common_google_play_services_update_button,Update
34,value,values,1152306,resources,string,N/A,common_google_play_services_update_text,"%1$s won't run unless you update Google Play services."
34,value,values,1152306,resources,string,N/A,common_google_play_services_update_title,Update Google Play services
34,value,values,1152306,resources,string,N/A,common_google_play_services_updating_text,"%1$s won't run without Google Play services- which are currently updating."
34,value,values,1152306,resources,string,N/A,common_google_play_services_wear_update_text,New version of Google Play services needed. It will update itself shortly.
34,value,values,1152306,resources,string,N/A,common_open_on_phone,Open on phone
34,value,values,1152306,resources,string,N/A,common_signin_button_text,Sign in
34,value,values,1152306,resources,string,N/A,common_signin_button_text_long,Sign in with Google
34,value,values,1152306,resources,string,N/A,copy_toast_msg,Link copied to clipboard
34,value,values,1152306,resources,string,N/A,default_web_client_id,257900153535-ap8bhapb7p21i11t9insdgitoap6ooa8.apps.googleusercontent.com
34,value,values,1152306,resources,string,N/A,error_a11y_label,Error: invalid
34,value,values,1152306,resources,string,N/A,error_icon_content_description,Error
34,value,values,1152306,resources,string,N/A,exposed_dropdown_menu_content_description,Show dropdown menu
34,value,values,1152306,resources,string,N/A,fab_transformation_scrim_behavior,com.google.android.material.transformation.FabTransformationScrimBehavior
34,value,values,1152306,resources,string,N/A,fab_transformation_sheet_behavior,com.google.android.material.transformation.FabTransformationSheetBehavior
34,value,values,1152306,resources,string,N/A,fallback_menu_item_copy_link,Copy link
34,value,values,1152306,resources,string,N/A,fallback_menu_item_open_in_browser,Open in browser
34,value,values,1152306,resources,string,N/A,fallback_menu_item_share_link,Share link
34,value,values,1152306,resources,string,N/A,fcm_fallback_notification_channel_label,Miscellaneous
34,value,values,1152306,resources,string,N/A,firebase_database_url,https://digital-tv-live1-default-rtdb.firebaseio.com
34,value,values,1152306,resources,string,N/A,gcm_defaultSenderId,257900153535
34,value,values,1152306,resources,string,N/A,google_api_key,AIzaSyDKTpw-SPCTgrRGoOC3bEV_b0oA8OsN3Ws
34,value,values,1152306,resources,string,N/A,google_app_id,1:257900153535:android:9ffbb5d7daf419b38f140a
34,value,values,1152306,resources,string,N/A,google_crash_reporting_api_key,AIzaSyDKTpw-SPCTgrRGoOC3bEV_b0oA8OsN3Ws
34,value,values,1152306,resources,string,N/A,google_storage_bucket,digital-tv-live1.appspot.com
34,value,values,1152306,resources,string,N/A,hide_bottom_view_on_scroll_behavior,com.google.android.material.behavior.HideBottomViewOnScrollBehavior
34,value,values,1152306,resources,string,N/A,icon_content_description,Dialog Icon
34,value,values,1152306,resources,string,N/A,item_view_role_description,Tab
34,value,values,1152306,resources,string,N/A,left,LEFT
34,value,values,1152306,resources,string,N/A,m3_exceed_max_badge_text_suffix,%1$s%2$s
34,value,values,1152306,resources,string,N/A,m3_ref_typeface_brand_medium,sans-serif-medium
34,value,values,1152306,resources,string,N/A,m3_ref_typeface_brand_regular,sans-serif
34,value,values,1152306,resources,string,N/A,m3_ref_typeface_plain_medium,sans-serif-medium
34,value,values,1152306,resources,string,N/A,m3_ref_typeface_plain_regular,sans-serif
34,value,values,1152306,resources,string,N/A,m3_sys_motion_easing_emphasized,path(M 0-0 C 0.05- 0- 0.133333- 0.06- 0.166666- 0.4 C 0.208333- 0.82- 0.25- 1- 1- 1)
